x:6.78, V:104.623, Pressure:262760, iteration:1, T:403.15, f_new:14.079, dfdT:5.51298
x:6.81, V:110.522, Pressure:261847, iteration:8, T:402.901, f_new:14.5052, dfdT:5.51728
x:6.81, V:110.522, Pressure:261847, iteration:9, T:402.875, f_new:14.3639, dfdT:5.51816
x:6.81, V:110.522, Pressure:261847, iteration:10, T:402.824, f_new:14.0814, dfdT:5.51993
x:6.81, V:110.522, Pressure:261847, iteration:11, T:402.722, f_new:13.5159, dfdT:5.52349
x:6.82, V:112.455, Pressure:261537, iteration:1, T:402.721, f_new:14.1278, dfdT:5.52202
x:6.82, V:112.455, Pressure:261537, iteration:2, T:402.721, f_new:14.1267, dfdT:5.52203
x:6.82, V:112.455, Pressure:261537, iteration:3, T:402.721, f_new:14.1245, dfdT:5.52204
x:6.82, V:112.455, Pressure:261537, iteration:4, T:402.72, f_new:14.12, dfdT:5.52207
x:6.82, V:112.455, Pressure:261537, iteration:5, T:402.718, f_new:14.1112, dfdT:5.52213
x:6.82, V:112.455, Pressure:261537, iteration:6, T:402.715, f_new:14.0935, dfdT:5.52224
x:6.82, V:112.455, Pressure:261537, iteration:7, T:402.709, f_new:14.0582, dfdT:5.52246
x:6.82, V:112.455, Pressure:261537, iteration:8, T:402.696, f_new:13.9875, dfdT:5.5229
x:6.83, V:114.376, Pressure:261224, iteration:1, T:402.696, f_new:14.6061, dfdT:5.52142
x:6.83, V:114.376, Pressure:261224, iteration:2, T:402.696, f_new:14.6049, dfdT:5.52143
x:6.83, V:114.376, Pressure:261224, iteration:3, T:402.695, f_new:14.6027, dfdT:5.52144
x:6.83, V:114.376, Pressure:261224, iteration:4, T:402.695, f_new:14.5983, dfdT:5.52147
x:6.83, V:114.376, Pressure:261224, iteration:5, T:402.693, f_new:14.5895, dfdT:5.52153
x:6.83, V:114.376, Pressure:261224, iteration:6, T:402.69, f_new:14.5718, dfdT:5.52164
x:6.83, V:114.376, Pressure:261224, iteration:7, T:402.683, f_new:14.5365, dfdT:5.52186
x:6.83, V:114.376, Pressure:261224, iteration:8, T:402.671, f_new:14.4658, dfdT:5.5223
x:6.83, V:114.376, Pressure:261224, iteration:9, T:402.645, f_new:14.3244, dfdT:5.52319
x:6.83, V:114.376, Pressure:261224, iteration:10, T:402.594, f_new:14.0416, dfdT:5.52498
x:6.84, V:116.286, Pressure:260908, iteration:1, T:402.594, f_new:14.6675, dfdT:5.52347
x:6.84, V:116.286, Pressure:260908, iteration:2, T:402.593, f_new:14.6664, dfdT:5.52348
x:6.84, V:116.286, Pressure:260908, iteration:3, T:402.593, f_new:14.6642, dfdT:5.52349
x:6.84, V:116.286, Pressure:260908, iteration:4, T:402.592, f_new:14.6598, dfdT:5.52352
x:6.84, V:116.286, Pressure:260908, iteration:5, T:402.591, f_new:14.651, dfdT:5.52358
x:6.84, V:116.286, Pressure:260908, iteration:6, T:402.587, f_new:14.6333, dfdT:5.52369
x:6.84, V:116.286, Pressure:260908, iteration:7, T:402.581, f_new:14.5979, dfdT:5.52391
x:6.84, V:116.286, Pressure:260908, iteration:8, T:402.568, f_new:14.5272, dfdT:5.52436
x:6.84, V:116.286, Pressure:260908, iteration:9, T:402.543, f_new:14.3858, dfdT:5.52525
x:6.84, V:116.286, Pressure:260908, iteration:10, T:402.491, f_new:14.1029, dfdT:5.52704
x:6.84, V:116.286, Pressure:260908, iteration:11, T:402.389, f_new:13.5367, dfdT:5.53063
x:6.85, V:118.188, Pressure:260588, iteration:1, T:402.389, f_new:14.1708, dfdT:5.52909
x:6.85, V:118.188, Pressure:260588, iteration:2, T:402.389, f_new:14.1697, dfdT:5.5291
x:6.85, V:118.188, Pressure:260588, iteration:3, T:402.388, f_new:14.1675, dfdT:5.52911
x:6.85, V:118.188, Pressure:260588, iteration:4, T:402.388, f_new:14.1631, dfdT:5.52914
x:6.85, V:118.188, Pressure:260588, iteration:5, T:402.386, f_new:14.1543, dfdT:5.5292
x:6.85, V:118.188, Pressure:260588, iteration:6, T:402.383, f_new:14.1366, dfdT:5.52931
x:6.85, V:118.188, Pressure:260588, iteration:7, T:402.376, f_new:14.1012, dfdT:5.52953
x:6.85, V:118.188, Pressure:260588, iteration:8, T:402.364, f_new:14.0304, dfdT:5.52998
x:6.86, V:120.083, Pressure:260264, iteration:1, T:402.363, f_new:14.6725, dfdT:5.52843
x:6.86, V:120.083, Pressure:260264, iteration:2, T:402.363, f_new:14.6714, dfdT:5.52844
x:6.86, V:120.083, Pressure:260264, iteration:3, T:402.363, f_new:14.6692, dfdT:5.52845
x:6.86, V:120.083, Pressure:260264, iteration:4, T:402.362, f_new:14.6647, dfdT:5.52848
x:6.86, V:120.083, Pressure:260264, iteration:5, T:402.36, f_new:14.6559, dfdT:5.52853
x:6.86, V:120.083, Pressure:260264, iteration:6, T:402.357, f_new:14.6382, dfdT:5.52865
x:6.86, V:120.083, Pressure:260264, iteration:7, T:402.351, f_new:14.6028, dfdT:5.52887
x:6.86, V:120.083, Pressure:260264, iteration:8, T:402.338, f_new:14.532, dfdT:5.52932
x:6.86, V:120.083, Pressure:260264, iteration:9, T:402.312, f_new:14.3905, dfdT:5.53022
x:6.86, V:120.083, Pressure:260264, iteration:10, T:402.261, f_new:14.1073, dfdT:5.53201
x:6.86, V:120.083, Pressure:260264, iteration:11, T:402.159, f_new:13.5406, dfdT:5.53563
x:6.87, V:121.973, Pressure:259937, iteration:1, T:402.159, f_new:14.1916, dfdT:5.53404
x:6.87, V:121.973, Pressure:259937, iteration:2, T:402.159, f_new:14.1905, dfdT:5.53405
x:6.87, V:121.973, Pressure:259937, iteration:3, T:402.158, f_new:14.1883, dfdT:5.53406
x:6.87, V:121.973, Pressure:259937, iteration:4, T:402.157, f_new:14.1839, dfdT:5.53409
x:6.87, V:121.973, Pressure:259937, iteration:5, T:402.156, f_new:14.175, dfdT:5.53415
x:6.87, V:121.973, Pressure:259937, iteration:6, T:402.153, f_new:14.1573, dfdT:5.53426
x:6.87, V:121.973, Pressure:259937, iteration:7, T:402.146, f_new:14.1219, dfdT:5.53448
x:6.87, V:121.973, Pressure:259937, iteration:8, T:402.133, f_new:14.051, dfdT:5.53494
x:6.88, V:123.858, Pressure:259605, iteration:1, T:402.133, f_new:14.7107, dfdT:5.53333
x:6.88, V:123.858, Pressure:259605, iteration:2, T:402.133, f_new:14.7096, dfdT:5.53334
x:6.88, V:123.858, Pressure:259605, iteration:3, T:402.133, f_new:14.7073, dfdT:5.53335
x:6.88, V:123.858, Pressure:259605, iteration:4, T:402.132, f_new:14.7029, dfdT:5.53338
x:6.88, V:123.858, Pressure:259605, iteration:5, T:402.13, f_new:14.6941, dfdT:5.53344
x:6.88, V:123.858, Pressure:259605, iteration:6, T:402.127, f_new:14.6764, dfdT:5.53355
x:6.88, V:123.858, Pressure:259605, iteration:7, T:402.121, f_new:14.6409, dfdT:5.53377
x:6.88, V:123.858, Pressure:259605, iteration:8, T:402.108, f_new:14.5701, dfdT:5.53423
x:6.88, V:123.858, Pressure:259605, iteration:9, T:402.082, f_new:14.4284, dfdT:5.53513
x:6.88, V:123.858, Pressure:259605, iteration:10, T:402.031, f_new:14.145, dfdT:5.53694
x:6.88, V:123.858, Pressure:259605, iteration:11, T:401.929, f_new:13.5778, dfdT:5.54057
x:6.89, V:125.739, Pressure:259269, iteration:1, T:401.929, f_new:14.247, dfdT:5.53893
x:6.89, V:125.739, Pressure:259269, iteration:2, T:401.928, f_new:14.2459, dfdT:5.53894
x:6.89, V:125.739, Pressure:259269, iteration:3, T:401.928, f_new:14.2437, dfdT:5.53895
x:6.89, V:125.739, Pressure:259269, iteration:4, T:401.927, f_new:14.2392, dfdT:5.53898
x:6.89, V:125.739, Pressure:259269, iteration:5, T:401.926, f_new:14.2304, dfdT:5.53904
x:6.89, V:125.739, Pressure:259269, iteration:6, T:401.922, f_new:14.2126, dfdT:5.53915
x:6.89, V:125.739, Pressure:259269, iteration:7, T:401.916, f_new:14.1772, dfdT:5.53938
x:6.89, V:125.739, Pressure:259269, iteration:8, T:401.903, f_new:14.1063, dfdT:5.53983
x:6.89, V:125.739, Pressure:259269, iteration:9, T:401.878, f_new:13.9644, dfdT:5.54074
x:6.9, V:127.618, Pressure:258929, iteration:1, T:401.877, f_new:14.6429, dfdT:5.53908
x:6.9, V:127.618, Pressure:258929, iteration:2, T:401.877, f_new:14.6418, dfdT:5.53909
x:6.9, V:127.618, Pressure:258929, iteration:3, T:401.877, f_new:14.6396, dfdT:5.5391
x:6.9, V:127.618, Pressure:258929, iteration:4, T:401.876, f_new:14.6352, dfdT:5.53913
x:6.9, V:127.618, Pressure:258929, iteration:5, T:401.874, f_new:14.6263, dfdT:5.53919
x:6.9, V:127.618, Pressure:258929, iteration:6, T:401.871, f_new:14.6086, dfdT:5.5393
x:6.9, V:127.618, Pressure:258929, iteration:7, T:401.865, f_new:14.5731, dfdT:5.53953
x:6.9, V:127.618, Pressure:258929, iteration:8, T:401.852, f_new:14.5022, dfdT:5.53998
x:6.9, V:127.618, Pressure:258929, iteration:9, T:401.826, f_new:14.3604, dfdT:5.54089
x:6.9, V:127.618, Pressure:258929, iteration:10, T:401.775, f_new:14.0766, dfdT:5.54272
x:6.9, V:127.618, Pressure:258929, iteration:11, T:401.673, f_new:nan, dfdT:nan
x:6.91, V:129.496, Pressure:258585, iteration:1, T:401.749, f_new:14.6202, dfdT:5.54195
x:6.91, V:129.496, Pressure:258585, iteration:2, T:401.749, f_new:14.6191, dfdT:5.54196
x:6.91, V:129.496, Pressure:258585, iteration:3, T:401.748, f_new:14.6169, dfdT:5.54197
x:6.91, V:129.496, Pressure:258585, iteration:4, T:401.748, f_new:14.6125, dfdT:5.542
x:6.91, V:129.496, Pressure:258585, iteration:5, T:401.746, f_new:14.6036, dfdT:5.54206
x:6.91, V:129.496, Pressure:258585, iteration:6, T:401.743, f_new:14.5859, dfdT:5.54217
x:6.91, V:129.496, Pressure:258585, iteration:7, T:401.736, f_new:14.5504, dfdT:5.5424
x:6.91, V:129.496, Pressure:258585, iteration:8, T:401.724, f_new:14.4795, dfdT:5.54286
x:6.91, V:129.496, Pressure:258585, iteration:9, T:401.698, f_new:14.3376, dfdT:5.54377
x:6.91, V:129.496, Pressure:258585, iteration:10, T:401.685, f_new:14.2666, dfdT:5.54423
x:6.91, V:129.496, Pressure:258585, iteration:11, T:401.679, f_new:nan, dfdT:nan
x:6.92, V:131.372, Pressure:258236, iteration:1, T:401.68, f_new:14.9353, dfdT:5.5427
x:6.92, V:131.372, Pressure:258236, iteration:2, T:401.68, f_new:14.9342, dfdT:5.54271
x:6.92, V:131.372, Pressure:258236, iteration:3, T:401.679, f_new:14.932, dfdT:5.54272
x:6.92, V:131.372, Pressure:258236, iteration:4, T:401.678, f_new:14.9276, dfdT:5.54275
x:6.92, V:131.372, Pressure:258236, iteration:5, T:401.677, f_new:14.9187, dfdT:5.54281
x:6.92, V:131.372, Pressure:258236, iteration:6, T:401.674, f_new:14.901, dfdT:5.54292
x:6.92, V:131.372, Pressure:258236, iteration:7, T:401.667, f_new:14.8655, dfdT:5.54315
x:6.92, V:131.372, Pressure:258236, iteration:8, T:401.654, f_new:14.7945, dfdT:5.5436
x:6.92, V:131.372, Pressure:258236, iteration:9, T:401.629, f_new:nan, dfdT:nan
x:6.93, V:133.249, Pressure:257882, iteration:1, T:401.638, f_new:15.4105, dfdT:5.54246
x:6.93, V:133.249, Pressure:257882, iteration:2, T:401.638, f_new:15.4094, dfdT:5.54246
x:6.93, V:133.249, Pressure:257882, iteration:3, T:401.637, f_new:15.4072, dfdT:5.54248
x:6.93, V:133.249, Pressure:257882, iteration:4, T:401.636, f_new:15.4027, dfdT:5.54251
x:6.93, V:133.249, Pressure:257882, iteration:5, T:401.635, f_new:15.3939, dfdT:5.54256
x:6.93, V:133.249, Pressure:257882, iteration:6, T:401.632, f_new:15.3761, dfdT:5.54268
x:6.93, V:133.249, Pressure:257882, iteration:7, T:401.625, f_new:15.3407, dfdT:5.54291
x:6.93, V:133.249, Pressure:257882, iteration:8, T:401.612, f_new:15.2697, dfdT:5.54336
x:6.93, V:133.249, Pressure:257882, iteration:9, T:401.587, f_new:nan, dfdT:nan
x:6.94, V:135.125, Pressure:257524, iteration:1, T:401.591, f_new:15.8689, dfdT:5.54236
x:6.94, V:135.125, Pressure:257524, iteration:2, T:401.59, f_new:15.8678, dfdT:5.54237
x:6.94, V:135.125, Pressure:257524, iteration:3, T:401.59, f_new:15.8656, dfdT:5.54238
x:6.94, V:135.125, Pressure:257524, iteration:4, T:401.589, f_new:15.8611, dfdT:5.54241
x:6.94, V:135.125, Pressure:257524, iteration:5, T:401.588, f_new:15.8523, dfdT:5.54247
x:6.94, V:135.125, Pressure:257524, iteration:6, T:401.584, f_new:15.8345, dfdT:5.54258
x:6.94, V:135.125, Pressure:257524, iteration:7, T:401.578, f_new:15.799, dfdT:5.54281
x:6.94, V:135.125, Pressure:257524, iteration:8, T:401.565, f_new:15.7281, dfdT:5.54327
x:6.94, V:135.125, Pressure:257524, iteration:9, T:401.54, f_new:nan, dfdT:nan
x:6.95, V:137.003, Pressure:257161, iteration:1, T:401.545, f_new:16.3459, dfdT:5.54219
x:6.95, V:137.003, Pressure:257161, iteration:2, T:401.545, f_new:16.3448, dfdT:5.5422
x:6.95, V:137.003, Pressure:257161, iteration:3, T:401.544, f_new:16.3426, dfdT:5.54221
x:6.95, V:137.003, Pressure:257161, iteration:4, T:401.544, f_new:16.3382, dfdT:5.54224
x:6.95, V:137.003, Pressure:257161, iteration:5, T:401.542, f_new:16.3293, dfdT:5.5423
x:6.95, V:137.003, Pressure:257161, iteration:6, T:401.539, f_new:16.3116, dfdT:5.54241
x:6.95, V:137.003, Pressure:257161, iteration:7, T:401.532, f_new:16.2761, dfdT:5.54264
x:6.95, V:137.003, Pressure:257161, iteration:8, T:401.52, f_new:16.2051, dfdT:5.5431
x:6.95, V:137.003, Pressure:257161, iteration:9, T:401.494, f_new:nan, dfdT:nan
x:6.96, V:138.883, Pressure:256793, iteration:1, T:401.498, f_new:16.8241, dfdT:5.54206
x:6.96, V:138.883, Pressure:256793, iteration:2, T:401.498, f_new:16.823, dfdT:5.54207
x:6.96, V:138.883, Pressure:256793, iteration:3, T:401.497, f_new:16.8208, dfdT:5.54208
x:6.96, V:138.883, Pressure:256793, iteration:4, T:401.496, f_new:16.8163, dfdT:5.54211
x:6.96, V:138.883, Pressure:256793, iteration:5, T:401.495, f_new:16.8075, dfdT:5.54217
x:6.96, V:138.883, Pressure:256793, iteration:6, T:401.492, f_new:16.7897, dfdT:5.54228
x:6.96, V:138.883, Pressure:256793, iteration:7, T:401.485, f_new:16.7543, dfdT:5.54251
x:6.96, V:138.883, Pressure:256793, iteration:8, T:401.472, f_new:16.6833, dfdT:5.54296
x:6.96, V:138.883, Pressure:256793, iteration:9, T:401.447, f_new:nan, dfdT:nan
x:6.97, V:140.764, Pressure:256420, iteration:1, T:401.45, f_new:17.3124, dfdT:5.5419
x:6.97, V:140.764, Pressure:256420, iteration:2, T:401.45, f_new:17.3113, dfdT:5.54191
x:6.97, V:140.764, Pressure:256420, iteration:3, T:401.45, f_new:17.3091, dfdT:5.54193
x:6.97, V:140.764, Pressure:256420, iteration:4, T:401.449, f_new:17.3047, dfdT:5.54195
x:6.97, V:140.764, Pressure:256420, iteration:5, T:401.447, f_new:17.2958, dfdT:5.54201
x:6.97, V:140.764, Pressure:256420, iteration:6, T:401.444, f_new:17.2781, dfdT:5.54212
x:6.97, V:140.764, Pressure:256420, iteration:7, T:401.438, f_new:17.2426, dfdT:5.54235
x:6.97, V:140.764, Pressure:256420, iteration:8, T:401.425, f_new:17.1716, dfdT:5.54281
x:6.97, V:140.764, Pressure:256420, iteration:9, T:401.399, f_new:nan, dfdT:nan
x:6.98, V:142.648, Pressure:256042, iteration:1, T:401.402, f_new:17.8066, dfdT:5.54176
x:6.98, V:142.648, Pressure:256042, iteration:2, T:401.402, f_new:17.8055, dfdT:5.54176
x:6.98, V:142.648, Pressure:256042, iteration:3, T:401.401, f_new:17.8033, dfdT:5.54178
x:6.98, V:142.648, Pressure:256042, iteration:4, T:401.4, f_new:17.7988, dfdT:5.54181
x:6.98, V:142.648, Pressure:256042, iteration:5, T:401.399, f_new:17.79, dfdT:5.54186
x:6.98, V:142.648, Pressure:256042, iteration:6, T:401.396, f_new:17.7722, dfdT:5.54198
x:6.98, V:142.648, Pressure:256042, iteration:7, T:401.389, f_new:17.7368, dfdT:5.54221
x:6.98, V:142.648, Pressure:256042, iteration:8, T:401.376, f_new:17.6658, dfdT:5.54266
x:6.98, V:142.648, Pressure:256042, iteration:9, T:401.351, f_new:nan, dfdT:nan
x:6.99, V:144.535, Pressure:255659, iteration:1, T:401.353, f_new:18.309, dfdT:5.5416
x:6.99, V:144.535, Pressure:255659, iteration:2, T:401.353, f_new:18.3079, dfdT:5.54161
x:6.99, V:144.535, Pressure:255659, iteration:3, T:401.352, f_new:18.3056, dfdT:5.54163
x:6.99, V:144.535, Pressure:255659, iteration:4, T:401.351, f_new:18.3012, dfdT:5.54165
x:6.99, V:144.535, Pressure:255659, iteration:5, T:401.35, f_new:18.2923, dfdT:5.54171
x:6.99, V:144.535, Pressure:255659, iteration:6, T:401.347, f_new:18.2746, dfdT:5.54182
x:6.99, V:144.535, Pressure:255659, iteration:7, T:401.34, f_new:18.2391, dfdT:5.54205
x:6.99, V:144.535, Pressure:255659, iteration:8, T:401.327, f_new:18.1682, dfdT:5.54251
x:6.99, V:144.535, Pressure:255659, iteration:9, T:401.302, f_new:nan, dfdT:nan
x:7, V:146.426, Pressure:255271, iteration:1, T:401.303, f_new:18.8186, dfdT:5.54145
x:7, V:146.426, Pressure:255271, iteration:2, T:401.303, f_new:18.8175, dfdT:5.54146
x:7, V:146.426, Pressure:255271, iteration:3, T:401.302, f_new:18.8153, dfdT:5.54147
x:7, V:146.426, Pressure:255271, iteration:4, T:401.302, f_new:18.8108, dfdT:5.5415
x:7, V:146.426, Pressure:255271, iteration:5, T:401.3, f_new:18.802, dfdT:5.54156
x:7, V:146.426, Pressure:255271, iteration:6, T:401.297, f_new:18.7842, dfdT:5.54167
x:7, V:146.426, Pressure:255271, iteration:7, T:401.29, f_new:18.7488, dfdT:5.5419
x:7, V:146.426, Pressure:255271, iteration:8, T:401.278, f_new:18.6778, dfdT:5.54235
x:7, V:146.426, Pressure:255271, iteration:9, T:401.252, f_new:nan, dfdT:nan
x:7.01, V:148.32, Pressure:254877, iteration:1, T:401.253, f_new:19.3361, dfdT:5.5413
x:7.01, V:148.32, Pressure:254877, iteration:2, T:401.252, f_new:19.335, dfdT:5.5413
x:7.01, V:148.32, Pressure:254877, iteration:3, T:401.252, f_new:19.3328, dfdT:5.54132
x:7.01, V:148.32, Pressure:254877, iteration:4, T:401.251, f_new:19.3284, dfdT:5.54135
x:7.01, V:148.32, Pressure:254877, iteration:5, T:401.25, f_new:19.3195, dfdT:5.5414
x:7.01, V:148.32, Pressure:254877, iteration:6, T:401.246, f_new:19.3018, dfdT:5.54152
x:7.01, V:148.32, Pressure:254877, iteration:7, T:401.24, f_new:19.2663, dfdT:5.54174
x:7.01, V:148.32, Pressure:254877, iteration:8, T:401.227, f_new:19.1954, dfdT:5.5422
x:7.01, V:148.32, Pressure:254877, iteration:9, T:401.202, f_new:19.0535, dfdT:5.54311
x:7.01, V:148.32, Pressure:254877, iteration:10, T:401.189, f_new:nan, dfdT:nan
x:7.02, V:150.218, Pressure:254479, iteration:1, T:401.208, f_new:19.8969, dfdT:5.54091
x:7.02, V:150.218, Pressure:254479, iteration:2, T:401.207, f_new:19.8958, dfdT:5.54092
x:7.02, V:150.218, Pressure:254479, iteration:3, T:401.207, f_new:19.8936, dfdT:5.54094
x:7.02, V:150.218, Pressure:254479, iteration:4, T:401.206, f_new:19.8891, dfdT:5.54096
x:7.02, V:150.218, Pressure:254479, iteration:5, T:401.205, f_new:19.8803, dfdT:5.54102
x:7.02, V:150.218, Pressure:254479, iteration:6, T:401.201, f_new:19.8625, dfdT:5.54113
x:7.02, V:150.218, Pressure:254479, iteration:7, T:401.195, f_new:19.8271, dfdT:5.54136
x:7.02, V:150.218, Pressure:254479, iteration:8, T:401.182, f_new:19.7561, dfdT:5.54181
x:7.02, V:150.218, Pressure:254479, iteration:9, T:401.157, f_new:19.6142, dfdT:5.54272
x:7.02, V:150.218, Pressure:254479, iteration:10, T:401.144, f_new:nan, dfdT:nan
x:7.03, V:152.12, Pressure:254074, iteration:1, T:401.152, f_new:20.4125, dfdT:5.54087
x:7.03, V:152.12, Pressure:254074, iteration:2, T:401.152, f_new:20.4114, dfdT:5.54088
x:7.03, V:152.12, Pressure:254074, iteration:3, T:401.152, f_new:20.4092, dfdT:5.54089
x:7.03, V:152.12, Pressure:254074, iteration:4, T:401.151, f_new:20.4048, dfdT:5.54092
x:7.03, V:152.12, Pressure:254074, iteration:5, T:401.149, f_new:20.3959, dfdT:5.54098
x:7.03, V:152.12, Pressure:254074, iteration:6, T:401.146, f_new:20.3782, dfdT:5.54109
x:7.03, V:152.12, Pressure:254074, iteration:7, T:401.14, f_new:20.3427, dfdT:5.54132
x:7.03, V:152.12, Pressure:254074, iteration:8, T:401.127, f_new:20.2718, dfdT:5.54177
x:7.03, V:152.12, Pressure:254074, iteration:9, T:401.101, f_new:20.1299, dfdT:5.54268
x:7.03, V:152.12, Pressure:254074, iteration:10, T:401.089, f_new:nan, dfdT:nan
x:7.04, V:154.028, Pressure:253664, iteration:1, T:401.101, f_new:20.9629, dfdT:5.54065
x:7.04, V:154.028, Pressure:253664, iteration:2, T:401.101, f_new:20.9618, dfdT:5.54066
x:7.04, V:154.028, Pressure:253664, iteration:3, T:401.101, f_new:20.9595, dfdT:5.54067
x:7.04, V:154.028, Pressure:253664, iteration:4, T:401.1, f_new:20.9551, dfdT:5.5407
x:7.04, V:154.028, Pressure:253664, iteration:5, T:401.098, f_new:20.9462, dfdT:5.54076
x:7.04, V:154.028, Pressure:253664, iteration:6, T:401.095, f_new:20.9285, dfdT:5.54087
x:7.04, V:154.028, Pressure:253664, iteration:7, T:401.089, f_new:20.893, dfdT:5.5411
x:7.04, V:154.028, Pressure:253664, iteration:8, T:401.076, f_new:20.8221, dfdT:5.54155
x:7.04, V:154.028, Pressure:253664, iteration:9, T:401.05, f_new:20.6802, dfdT:5.54246
x:7.04, V:154.028, Pressure:253664, iteration:10, T:401.037, f_new:nan, dfdT:nan
x:7.05, V:155.94, Pressure:253249, iteration:1, T:401.047, f_new:21.5082, dfdT:5.54052
x:7.05, V:155.94, Pressure:253249, iteration:2, T:401.047, f_new:21.5071, dfdT:5.54053
x:7.05, V:155.94, Pressure:253249, iteration:3, T:401.046, f_new:21.5049, dfdT:5.54054
x:7.05, V:155.94, Pressure:253249, iteration:4, T:401.045, f_new:21.5004, dfdT:5.54057
x:7.05, V:155.94, Pressure:253249, iteration:5, T:401.044, f_new:21.4916, dfdT:5.54063
x:7.05, V:155.94, Pressure:253249, iteration:6, T:401.041, f_new:21.4738, dfdT:5.54074
x:7.05, V:155.94, Pressure:253249, iteration:7, T:401.034, f_new:21.4384, dfdT:5.54097
x:7.05, V:155.94, Pressure:253249, iteration:8, T:401.021, f_new:21.3675, dfdT:5.54142
x:7.05, V:155.94, Pressure:253249, iteration:9, T:400.996, f_new:21.2256, dfdT:5.54232
x:7.05, V:155.94, Pressure:253249, iteration:10, T:400.983, f_new:nan, dfdT:nan
x:7.06, V:157.857, Pressure:252828, iteration:1, T:400.993, f_new:22.0686, dfdT:5.54034
x:7.06, V:157.857, Pressure:252828, iteration:2, T:400.993, f_new:22.0675, dfdT:5.54035
x:7.06, V:157.857, Pressure:252828, iteration:3, T:400.992, f_new:22.0652, dfdT:5.54037
x:7.06, V:157.857, Pressure:252828, iteration:4, T:400.991, f_new:22.0608, dfdT:5.54039
x:7.06, V:157.857, Pressure:252828, iteration:5, T:400.99, f_new:22.0519, dfdT:5.54045
x:7.06, V:157.857, Pressure:252828, iteration:6, T:400.987, f_new:22.0342, dfdT:5.54056
x:7.06, V:157.857, Pressure:252828, iteration:7, T:400.98, f_new:21.9988, dfdT:5.54079
x:7.06, V:157.857, Pressure:252828, iteration:8, T:400.967, f_new:21.9278, dfdT:5.54124
x:7.06, V:157.857, Pressure:252828, iteration:9, T:400.942, f_new:21.786, dfdT:5.54215
x:7.06, V:157.857, Pressure:252828, iteration:10, T:400.929, f_new:nan, dfdT:nan
x:7.07, V:159.78, Pressure:252401, iteration:1, T:400.937, f_new:22.6342, dfdT:5.54019
